,University,Degree,GPA,GRE Verbal,GRE Quantitive,GRE Writing,GRE Subject,Classification
Mid-level Schools,Pacific University, Other ,3.6275,221.4,243.8,4.1,790.0,Mid-level
Mid-level Schools,University Of Central Florida, PhD ,3.6075,158.75,158.0,3.875,700.0,Mid-level
Mid-level Schools,Emory University, PhD ,3.6033333333333335,543.0,546.3333333333334,5.0,710.0,Mid-level
Mid-level Schools,Texas A&M University, PhD ,3.596,319.2,379.4,4.4,620.0,Mid-level
Mid-level Schools,Duke University, PhD ,3.5833333333333335,332.0,370.6666666666667,5.666666666666667,780.0,Mid-level
Mid-level Schools,University Of Pittsburgh, PhD ,3.58,405.25,432.5,4.125,720.0,Mid-level
Mid-level Schools,Hofstra University, PhD ,3.5733333333333337,162.66666666666666,161.0,4.833333333333333,785.0,Mid-level
Mid-level Schools,University Of Waterloo, PhD ,3.55,161.0,156.0,4.75,620.0,Mid-level
Mid-level Schools,Nova Southeastern University, PhD ,3.546666666666667,157.66666666666666,159.0,2.8333333333333335,690.0,Mid-level
Mid-level Schools,Harvard University, PhD ,3.5300000000000002,414.0,477.5,5.5,790.0,Mid-level
Mid-level Schools,The New School For Social Research, Masters ,3.52,307.6666666666667,305.0,4.5,680.0,Mid-level
Mid-level Schools,Tennessee State University, PhD ,3.516666666666667,332.0,332.6666666666667,4.566666666666666,710.0,Mid-level
Mid-level Schools,Miami University (OH), PhD ,3.5066666666666664,449.0,490.6666666666667,4.333333333333333,700.0,Mid-level
Mid-level Schools,University Of Rochester, PhD ,3.502,163.4,161.2,5.4,795.0,Mid-level
Worse Schools,Adelphi, PhD ,4.0,162.0,154.0,4.0,660.0,Worse
Worse Schools,Adelphi (Derner Institute), PhD ,3.94,156.0,154.0,5.0,710.0,Worse
Worse Schools,Drexel University, PhD ,3.9133333333333336,158.33333333333334,154.66666666666666,4.666666666666667,710.0,Worse
Worse Schools,University Of Toledo, PhD ,3.8275,159.6,153.6,5.1,840.0,Worse
Worse Schools,University Of Hartford, Other ,3.8233333333333337,129.16666666666666,128.16666666666666,3.75,685.0,Worse
Worse Schools,York University, Masters ,3.8,123.0,98.5,51.0,95.0,Worse
Worse Schools,Yeshiva University, PhD ,3.7600000000000002,162.85714285714286,136.14285714285714,18.212857142857143,508.3333333333333,Worse
Worse Schools,University Of Miami, PhD ,3.71,165.0,154.5,4.5,770.0,Worse
Worse Schools,"California State University, Fullerton", Masters ,3.705,155.25,151.75,4.5,720.0,Worse
Worse Schools,University Of Denver, PhD ,3.7000000000000006,162.25,153.0,4.625,700.0,Worse
Worse Schools,University Of South Florida (USF), PhD ,3.59,153.0,162.0,6.0,690.0,Worse
Worse Schools,University Of North Texas, PhD ,3.55875,156.4375,147.3125,4.3125,766.6666666666666,Worse
Worse Schools,University Of Vermont, PhD ,3.55,159.5,154.5,4.875,693.3333333333334,Worse
Worse Schools,William James College, Other ,3.5340000000000003,160.2,154.8,4.5,645.0,Worse
Worse Schools,Chestnut Hill College, Other ,3.46,159.5,168.5,5.25,720.0,Worse
Worse Schools,University Of Delaware, PhD ,3.4499999999999997,159.5,153.75,4.625,680.0,Worse
Worse Schools,Auburn University, PhD ,3.445,179.375,303.25,4.1875,685.0,Worse
Worse Schools,Virginia Tech, PhD ,3.44,375.0,438.0,4.0,700.0,Worse
Worse Schools,"Long Island University, CW Post", Other ,3.415,600.0,705.0,5.25,745.0,Worse
Worse Schools,"University Of California, Riverside (UCR)", PhD ,3.4,590.0,720.0,4.0,700.0,Worse
Worse Schools,Towson University, Masters ,3.3666666666666667,233.83333333333334,238.0,4.733333333333333,690.0,Worse
Worse Schools,Pepperdine University, Other ,3.3666666666666667,332.0,367.4,4.5,692.5,Worse
Worse Schools,Rutgers University, PhD ,3.3600000000000003,156.4,144.0,4.1,657.5,Worse
Worse Schools,Massachusetts School Of Professional Psychology, Other ,3.35,159.0,157.6,4.4,760.0,Worse
Worse Schools,North Carolina State University, PhD ,3.335,340.0,410.0,3.5,670.0,Worse
Worse Schools,VCU - Virginia Commonwealth University, PhD ,3.2750000000000004,158.66666666666666,157.33333333333334,4.5,690.0,Worse
Worse Schools,George Washington University, Other ,3.2,359.0,331.0,4.5,550.0,Worse
Worse Schools,University Of Wyoming, PhD ,3.05,154.0,147.0,4.75,600.0,Worse
